Reason 1,Reason 2,Reason 3,Reason 4,Day of the Week,Month,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Normal Weight,Overweight,Obese,Education,Children,Pets,Excessive Absenteeism
0,0,0,1,2,7,289,36,33,239.554,0,0,1,0,1,1,1
0,0,0,0,2,7,118,13,50,239.554,0,0,1,0,1,0,0
0,0,0,1,3,7,179,51,38,239.554,0,0,1,0,0,0,0
1,0,0,0,4,7,279,5,39,239.554,1,0,0,0,1,0,1
0,0,0,1,4,7,289,36,33,239.554,0,0,1,0,1,1,0
0,0,0,1,5,7,179,51,38,239.554,0,0,1,0,0,0,0
0,0,0,1,5,7,361,52,28,239.554,0,1,0,0,1,1,1
0,0,0,1,5,7,260,50,36,239.554,1,0,0,0,1,0,1
0,0,1,0,1,7,155,12,34,239.554,0,1,0,0,1,0,1
0,0,0,1,1,7,235,11,37,239.554,0,1,0,1,1,1,1
1,0,0,0,1,7,260,50,36,239.554,1,0,0,0,1,0,1
1,0,0,0,2,7,260,50,36,239.554,1,0,0,0,1,0,1
1,0,0,0,3,7,260,50,36,239.554,1,0,0,0,1,0,1
1,0,0,0,3,7,179,51,38,239.554,0,0,1,0,0,0,0
0,0,0,1,3,7,179,51,38,239.554,0,0,1,0,0,0,1
1,0,0,0,5,7,246,25,41,239.554,1,0,0,0,0,0,1
0,0,0,1,5,7,179,51,38,239.554,0,0,1,0,0,0,0
0,0,1,0,1,7,179,51,38,239.554,0,0,1,0,0,0,1
1,0,0,0,4,7,189,29,33,239.554,0,1,0,0,1,1,1
0,0,0,1,3,8,248,25,47,205.917,0,0,1,0,1,1,0
1,0,0,0,3,8,330,16,28,205.917,0,1,0,1,0,0,1
1,0,0,0,1,8,179,51,38,205.917,0,0,1,0,0,0,0
1,0,0,0,1,8,361,52,28,205.917,0,1,0,0,1,1,1
0,0,0,1,5,8,260,50,36,205.917,1,0,0,0,1,0,1
0,0,1,0,1,8,289,36,33,205.917,0,0,1,0,1,1,1
0,0,0,1,1,8,361,52,28,205.917,0,1,0,0,1,1,1
0,0,0,1,2,8,289,36,33,205.917,0,0,1,0,1,1,0
0,0,0,1,3,8,157,27,29,205.917,1,0,0,0,0,0,1
0,0,1,0,3,8,289,36,33,205.917,0,0,1,0,1,1,1
0,0,0,1,5,8,179,51,38,205.917,0,0,1,0,0,0,0
0,0,1,0,1,8,179,51,38,205.917,0,0,1,0,0,0,1
0,0,1,0,4,8,235,29,48,205.917,0,0,1,0,1,1,1
0,0,0,1,4,8,235,11,37,205.917,0,1,0,1,1,1,1
0,0,1,0,1,8,235,29,48,205.917,0,0,1,0,1,1,1
0,0,0,1,1,8,179,51,38,205.917,0,0,1,0,0,0,0
0,0,0,1,1,8,361,52,28,205.917,0,1,0,0,1,1,0
0,0,0,1,2,8,289,36,33,205.917,0,0,1,0,1,1,1
1,0,0,0,4,8,291,50,32,205.917,1,0,0,0,0,0,1
0,0,0,1,5,8,235,29,48,205.917,0,0,1,0,1,1,1
0,0,0,1,5,8,260,50,36,205.917,1,0,0,0,1,0,1
0,0,0,1,2,9,184,42,27,241.476,1,0,0,0,0,0,0
0,0,0,1,1,9,118,10,37,241.476,0,1,0,0,0,0,1
0,0,0,1,2,9,179,51,38,241.476,0,0,1,0,0,0,1
0,0,1,0,2,9,235,20,43,241.476,0,0,1,0,1,0,1
0,0,0,1,3,9,155,12,34,241.476,0,1,0,0,1,0,0
0,0,0,1,7,9,118,10,37,241.476,0,1,0,0,0,0,0
0,0,0,1,1,9,179,51,38,241.476,0,0,1,0,0,0,0
0,0,0,1,4,9,291,31,40,241.476,0,1,0,0,1,1,1
0,0,0,1,5,9,260,50,36,241.476,1,0,0,0,1,0,1
1,0,0,0,1,9,291,31,40,241.476,0,1,0,0,1,1,1
0,0,0,0,1,9,260,50,36,241.476,1,0,0,0,1,0,0
0,0,0,0,1,9,225,26,28,241.476,1,0,0,0,1,1,0
0,0,0,1,2,9,225,26,28,241.476,1,0,0,0,1,1,0
0,0,0,1,2,9,118,10,37,241.476,0,1,0,0,0,0,0
0,0,0,0,2,9,289,36,33,241.476,0,0,1,0,1,1,0
0,0,0,0,2,9,118,13,50,241.476,0,0,1,0,1,0,0
0,0,1,0,3,9,225,26,28,241.476,1,0,0,0,1,1,0
0,0,0,1,3,9,179,51,38,241.476,0,0,1,0,0,0,0
0,0,0,0,3,9,369,17,31,241.476,0,1,0,0,1,0,0
0,0,0,1,5,9,248,25,47,241.476,0,0,1,0,1,1,0
0,0,0,1,5,9,179,51,38,241.476,0,0,1,0,0,0,0
0,0,0,1,5,9,260,50,36,241.476,1,0,0,0,1,0,1
0,0,0,1,2,10,179,51,38,253.465,0,0,1,0,0,0,0
0,0,0,1,2,10,118,10,37,253.465,0,1,0,0,0,0,0
0,0,0,0,3,10,118,13,50,253.465,0,0,1,0,1,0,0
0,0,0,1,4,10,179,26,30,253.465,1,0,0,1,0,0,0
0,0,0,1,5,10,179,51,38,253.465,0,0,1,0,0,0,0
0,0,0,1,5,10,225,26,28,253.465,1,0,0,0,1,1,0
0,0,0,1,2,10,118,10,37,253.465,0,1,0,0,0,0,0
0,0,0,1,3,10,225,26,28,253.465,1,0,0,0,1,1,0
0,0,0,1,3,10,248,25,47,253.465,0,0,1,0,1,1,0
0,0,0,1,4,10,291,31,40,253.465,0,1,0,0,1,1,1
0,0,0,1,3,10,179,51,38,253.465,0,0,1,0,0,0,1
0,0,0,1,3,10,225,26,28,253.465,1,0,0,0,1,1,0
0,0,1,0,4,10,260,50,36,253.465,1,0,0,0,1,0,1
1,0,0,0,2,10,291,31,40,253.465,0,1,0,0,1,1,1
0,0,0,1,2,10,225,26,28,253.465,1,0,0,0,1,1,0
0,0,0,1,3,10,289,36,33,253.465,0,0,1,0,1,1,1
0,0,0,1,5,10,361,52,28,253.465,0,1,0,0,1,1,0
0,0,0,1,5,10,260,50,36,253.465,1,0,0,0,1,0,0
0,0,0,1,4,11,179,51,38,306.345,0,0,1,0,0,0,0
0,0,0,1,3,11,225,26,28,306.345,1,0,0,0,1,1,0
1,0,0,0,4,11,179,51,38,306.345,0,0,1,0,0,0,1
0,0,1,0,4,11,179,22,40,306.345,1,0,0,1,1,0,1
0,0,0,1,4,11,291,31,40,306.345,0,1,0,0,1,1,1
1,0,0,0,1,11,155,12,34,306.345,0,1,0,0,1,0,1
0,0,0,1,1,11,189,29,33,306.345,0,1,0,0,1,1,1
1,0,0,0,1,11,291,31,40,306.345,0,1,0,0,1,1,1
0,0,0,1,3,11,225,26,28,306.345,1,0,0,0,1,1,0
1,0,0,0,5,11,155,12,34,306.345,0,1,0,0,1,0,1
0,0,0,1,3,11,225,26,28,306.345,1,0,0,0,1,1,0
0,0,1,0,3,11,179,22,40,306.345,1,0,0,1,1,0,1
1,0,0,0,5,11,225,26,28,306.345,1,0,0,0,1,1,0
0,0,0,1,5,11,260,50,36,306.345,1,0,0,0,1,0,1
0,0,0,1,1,11,248,25,47,306.345,0,0,1,0,1,1,0
0,0,0,1,2,11,225,26,28,306.345,1,0,0,0,1,1,0
1,0,0,0,3,11,289,36,33,306.345,0,0,1,0,1,1,1
0,0,0,1,4,11,291,31,40,306.345,0,1,0,0,1,1,0
0,0,0,1,2,12,248,25,47,261.306,0,0,1,0,1,1,0
0,0,1,0,2,12,118,10,37,261.306,0,1,0,0,0,0,1
0,0,0,1,3,12,118,13,50,261.306,0,0,1,0,1,0,0
0,0,0,1,3,12,235,11,37,261.306,0,1,0,1,1,1,1
0,0,0,1,4,12,225,26,28,261.306,1,0,0,0,1,1,0
0,0,0,1,5,12,260,50,36,261.306,1,0,0,0,1,0,1
0,0,1,0,2,12,118,10,37,261.306,0,1,0,0,0,0,1
0,0,0,1,3,12,361,52,28,261.306,0,1,0,0,1,1,1
0,0,0,1,4,12,225,26,28,261.306,1,0,0,0,1,1,0
0,0,0,1,5,12,260,50,36,261.306,1,0,0,0,1,0,0
0,0,0,1,2,12,225,26,28,261.306,1,0,0,0,1,1,0
0,0,0,1,3,12,361,52,28,261.306,0,1,0,0,1,1,1
0,0,0,1,5,12,118,10,37,261.306,0,1,0,0,0,0,0
0,0,1,0,5,12,246,25,41,261.306,1,0,0,0,0,0,1
0,0,0,1,5,12,225,26,28,261.306,1,0,0,0,1,1,0
0,0,0,1,3,1,225,26,28,308.593,1,0,0,0,1,1,0
0,0,1,0,1,1,118,10,37,308.593,0,1,0,0,0,0,0
0,0,0,1,2,1,118,10,37,308.593,0,1,0,0,0,0,0
0,0,1,0,2,1,155,12,34,308.593,0,1,0,0,1,0,1
0,0,0,1,3,1,225,26,28,308.593,1,0,0,0,1,1,0
0,0,0,1,4,1,184,42,27,308.593,1,0,0,0,0,0,0
0,0,0,1,4,1,225,26,28,308.593,1,0,0,0,1,1,0
0,0,0,1,5,1,225,26,28,308.593,1,0,0,0,1,1,0
0,0,0,1,1,1,118,10,37,308.593,0,1,0,0,0,0,0
0,0,0,1,2,1,225,26,28,308.593,1,0,0,0,1,1,0
0,0,0,1,2,1,118,10,37,308.593,0,1,0,0,0,0,0
0,0,0,1,3,1,118,10,37,308.593,0,1,0,0,0,0,0
0,0,0,1,4,1,118,10,37,308.593,0,1,0,0,0,0,0
0,0,0,1,5,1,118,10,37,308.593,0,1,0,0,0,0,0
0,0,0,1,1,1,118,10,37,308.593,0,1,0,0,0,0,0
0,0,0,1,2,1,118,10,37,308.593,0,1,0,0,0,0,0
0,0,1,0,2,1,179,26,30,308.593,1,0,0,1,0,0,1
0,0,1,0,2,1,289,36,33,308.593,0,0,1,0,1,1,1
0,0,0,1,3,1,118,10,37,308.593,0,1,0,0,0,0,0
0,0,0,1,4,1,184,42,27,308.593,1,0,0,0,0,0,0
0,0,0,1,4,1,118,10,37,308.593,0,1,0,0,0,0,0
0,0,0,1,1,1,118,10,37,308.593,0,1,0,0,0,0,0
0,0,0,1,2,1,225,26,28,308.593,1,0,0,0,1,1,0
0,0,0,1,4,1,289,36,33,308.593,0,0,1,0,1,1,0
0,0,0,1,5,2,184,42,27,302.585,1,0,0,0,0,0,0
1,0,0,0,3,2,246,25,41,302.585,1,0,0,0,0,0,1
1,0,0,0,3,2,179,51,38,302.585,0,0,1,0,0,0,1
0,0,0,1,4,2,155,12,34,302.585,0,1,0,0,1,0,0
0,0,0,1,4,2,189,29,33,302.585,0,1,0,0,1,1,1
0,0,0,1,5,2,260,50,36,302.585,1,0,0,0,1,0,0
0,0,0,1,5,2,289,36,33,302.585,0,0,1,0,1,1,1
1,0,0,0,1,2,388,15,50,302.585,1,0,0,0,0,0,1
1,0,0,0,2,2,388,15,50,302.585,1,0,0,0,0,0,1
0,0,0,1,1,2,225,26,28,302.585,1,0,0,0,1,1,0
0,0,0,1,2,2,225,26,28,302.585,1,0,0,0,1,1,0
0,0,0,1,2,2,179,26,30,302.585,1,0,0,1,0,0,0
0,0,0,1,2,2,184,42,27,302.585,1,0,0,0,0,0,1
0,0,0,1,4,2,225,26,28,302.585,1,0,0,0,1,1,0
0,0,1,0,1,2,330,16,28,302.585,0,1,0,1,0,0,1
0,0,0,1,2,2,330,16,28,302.585,0,1,0,1,0,0,0
0,0,0,1,3,2,225,26,28,302.585,1,0,0,0,1,1,0
0,0,1,0,4,2,189,29,33,302.585,0,1,0,0,1,1,1
0,0,0,1,2,3,291,50,32,343.253,1,0,0,0,0,0,0
0,0,1,0,2,3,260,50,36,343.253,1,0,0,0,1,0,1
0,0,1,0,2,3,157,27,29,343.253,1,0,0,0,0,0,0
0,1,0,0,2,3,179,22,40,343.253,1,0,0,1,1,0,1
0,0,0,1,3,3,291,31,40,343.253,0,1,0,0,1,1,1
1,0,0,0,3,3,260,50,36,343.253,1,0,0,0,1,0,1
1,0,0,0,4,3,179,26,30,343.253,1,0,0,1,0,0,1
1,0,0,0,5,3,248,25,47,343.253,0,0,1,0,1,1,0
1,0,0,0,5,3,260,50,36,343.253,1,0,0,0,1,0,1
1,0,0,0,1,3,179,22,40,343.253,1,0,0,1,1,0,1
1,0,0,0,1,3,155,12,34,343.253,0,1,0,0,1,0,1
0,0,0,1,1,3,260,50,36,343.253,1,0,0,0,1,0,1
1,0,0,0,2,3,155,12,34,343.253,0,1,0,0,1,0,1
1,0,0,0,4,3,289,36,33,343.253,0,0,1,0,1,1,1
1,0,0,0,4,3,179,22,40,343.253,1,0,0,1,1,0,1
0,0,0,1,5,3,260,50,36,343.253,1,0,0,0,1,0,1
0,0,0,1,5,3,225,26,28,343.253,1,0,0,0,1,1,0
1,0,0,0,1,3,279,5,39,343.253,1,0,0,0,1,0,1
1,0,0,0,2,3,179,51,38,343.253,0,0,1,0,0,0,1
0,0,0,1,3,3,225,26,28,343.253,1,0,0,0,1,1,0
1,0,0,0,1,3,225,26,28,343.253,1,0,0,0,1,1,1
1,0,0,0,1,3,179,26,30,343.253,1,0,0,1,0,0,0
1,0,0,0,2,3,225,26,28,343.253,1,0,0,0,1,1,1
1,0,0,0,3,3,225,26,28,343.253,1,0,0,0,1,1,1
1,0,0,0,3,3,179,51,38,343.253,0,0,1,0,0,0,0
1,0,0,0,4,3,279,5,39,343.253,1,0,0,0,1,0,1
0,0,0,1,5,3,225,26,28,343.253,1,0,0,0,1,1,0
1,0,0,0,5,3,248,25,47,343.253,0,0,1,0,1,1,0
0,0,0,1,1,3,225,26,28,343.253,1,0,0,0,1,1,0
0,0,0,1,3,4,291,31,40,326.452,0,1,0,0,1,1,0
0,0,0,1,3,4,225,26,28,326.452,1,0,0,0,1,1,0
0,0,0,1,2,4,155,12,34,326.452,0,1,0,0,1,0,0
1,0,0,0,3,4,246,25,41,326.452,1,0,0,0,0,0,1
0,0,0,1,4,4,155,12,34,326.452,0,1,0,0,1,0,0
0,0,0,1,5,4,225,26,28,326.452,1,0,0,0,1,1,0
0,0,0,1,5,4,260,50,36,326.452,1,0,0,0,1,0,1
1,0,0,0,3,4,179,51,38,326.452,0,0,1,0,0,0,1
0,0,0,1,4,4,118,13,50,326.452,0,0,1,0,1,0,0
0,0,0,1,5,4,291,31,40,326.452,0,1,0,0,1,1,0
1,0,0,0,5,4,246,25,41,326.452,1,0,0,0,0,0,1
0,0,0,1,5,4,291,31,40,326.452,0,1,0,0,1,1,0
0,0,0,1,5,4,248,25,47,326.452,0,0,1,0,1,1,1
0,0,1,0,5,4,260,50,36,326.452,1,0,0,0,1,0,1
0,0,1,0,2,4,289,36,33,326.452,0,0,1,0,1,1,1
1,0,0,0,3,4,155,12,34,326.452,0,1,0,0,1,0,1
0,0,1,0,3,4,378,49,36,326.452,1,0,0,0,1,1,1
1,0,0,0,4,4,289,36,33,326.452,0,0,1,0,1,1,1
1,0,0,0,5,4,235,11,37,326.452,0,1,0,1,1,1,0
0,0,0,0,1,4,235,29,48,326.452,0,0,1,0,1,1,0
1,0,0,0,3,5,289,36,33,378.884,0,0,1,0,1,1,1
0,0,0,1,4,5,155,12,34,378.884,0,1,0,0,1,0,0
0,0,0,1,1,5,155,12,34,378.884,0,1,0,0,1,0,0
0,0,1,0,2,5,179,51,38,378.884,0,0,1,0,0,0,1
0,0,1,0,2,5,225,26,28,378.884,1,0,0,0,1,1,1
1,0,0,0,3,5,184,42,27,378.884,1,0,0,0,0,0,1
0,0,0,1,1,5,155,12,34,378.884,0,1,0,0,1,0,0
1,0,0,0,2,5,179,51,38,378.884,0,0,1,0,0,0,0
1,0,0,0,3,5,289,36,33,378.884,0,0,1,0,1,1,1
0,0,0,0,3,5,279,5,39,378.884,1,0,0,0,1,0,0
0,0,0,0,3,5,330,16,28,378.884,0,1,0,1,0,0,0
0,0,0,0,3,5,378,49,36,378.884,1,0,0,0,1,1,0
0,0,0,0,3,5,388,15,50,378.884,1,0,0,0,0,0,0
1,0,0,0,2,5,179,51,38,378.884,0,0,1,0,0,0,0
1,0,0,0,3,5,118,13,50,378.884,0,0,1,0,1,0,1
0,0,0,1,5,5,361,52,28,378.884,0,1,0,0,1,1,1
0,0,1,0,1,6,246,25,41,377.55,1,0,0,0,0,0,1
0,0,0,1,1,6,361,52,28,377.55,0,1,0,0,1,1,1
1,0,0,0,2,6,246,25,41,377.55,1,0,0,0,0,0,1
0,0,0,1,4,6,291,31,40,377.55,0,1,0,0,1,1,1
1,0,0,0,5,6,246,25,41,377.55,1,0,0,0,0,0,1
1,0,0,0,1,6,179,51,38,377.55,0,0,1,0,0,0,1
0,0,0,1,1,6,155,12,34,377.55,0,1,0,0,1,0,1
1,0,0,0,1,6,246,25,41,377.55,1,0,0,0,0,0,1
1,0,0,0,3,6,118,13,50,377.55,0,0,1,0,1,0,1
1,0,0,0,5,6,235,11,37,377.55,0,1,0,1,1,1,1
0,0,0,1,2,6,118,13,50,377.55,0,0,1,0,1,0,0
1,0,0,0,3,6,118,13,50,377.55,0,0,1,0,1,0,1
0,0,0,1,4,6,378,49,36,377.55,1,0,0,0,1,1,1
1,0,0,0,5,6,179,51,38,377.55,0,0,1,0,0,0,0
0,0,0,1,1,6,289,48,49,377.55,0,0,1,0,0,1,0
0,0,0,1,4,6,225,26,28,377.55,1,0,0,0,1,1,0
0,0,1,0,2,7,155,12,34,275.312,0,1,0,0,1,0,1
1,0,0,0,3,7,118,13,50,275.312,0,0,1,0,1,0,1
1,0,0,0,5,7,118,10,37,275.312,0,1,0,0,0,0,1
0,0,0,1,5,7,118,10,37,275.312,0,1,0,0,0,0,1
0,0,0,1,2,7,330,16,28,275.312,0,1,0,1,0,0,1
0,0,1,0,4,7,179,26,30,275.312,1,0,0,1,0,0,1
0,0,0,1,5,7,155,12,34,275.312,0,1,0,0,1,0,0
1,0,0,0,1,7,330,16,28,275.312,0,1,0,1,0,0,1
1,0,0,0,2,7,330,16,28,275.312,0,1,0,1,0,0,1
0,0,0,1,1,7,157,27,29,275.312,1,0,0,0,0,0,0
0,0,0,1,2,7,361,52,28,275.312,0,1,0,0,1,1,1
0,0,0,1,3,7,289,36,33,275.312,0,0,1,0,1,1,1
0,0,0,1,4,7,179,51,38,275.312,0,0,1,0,0,0,1
0,0,1,0,1,7,289,36,33,275.312,0,0,1,0,1,1,1
0,0,1,0,4,7,289,36,33,275.312,0,0,1,0,1,1,1
0,0,0,0,4,7,260,50,36,275.312,1,0,0,0,1,0,0
0,0,1,0,4,8,289,36,33,265.615,0,0,1,0,1,1,1
0,0,1,0,4,8,157,27,29,265.615,1,0,0,0,0,0,0
0,0,0,1,7,8,289,36,33,265.615,0,0,1,0,1,1,0
0,0,1,0,1,8,228,14,58,265.615,1,0,0,0,1,1,1
1,0,0,0,3,8,300,26,43,265.615,0,1,0,0,1,1,0
1,0,0,0,3,8,300,26,43,265.615,0,1,0,0,1,1,0
0,0,0,1,4,8,260,50,36,265.615,1,0,0,0,1,0,1
0,0,0,1,1,8,289,36,33,265.615,0,0,1,0,1,1,1
0,0,0,1,2,8,248,25,47,265.615,0,0,1,0,1,1,0
1,0,0,0,3,8,268,11,33,265.615,0,1,0,1,0,0,1
0,0,0,1,3,8,179,26,30,265.615,1,0,0,1,0,0,0
1,0,0,0,3,8,118,13,50,265.615,0,0,1,0,1,0,0
0,0,0,1,7,8,248,25,47,265.615,0,0,1,0,1,1,0
0,0,0,1,1,8,235,11,37,265.615,0,1,0,1,1,1,0
0,0,0,1,3,8,118,13,50,265.615,0,0,1,0,1,0,0
0,0,1,0,3,8,235,11,37,265.615,0,1,0,1,1,1,1
1,0,0,0,1,8,361,52,28,265.615,0,1,0,0,1,1,1
1,0,0,0,2,8,184,42,27,265.615,1,0,0,0,0,0,1
1,0,0,0,1,9,179,51,38,294.217,0,0,1,0,0,0,1
0,0,0,1,5,9,179,51,38,294.217,0,0,1,0,0,0,0
0,0,1,0,3,9,289,36,33,294.217,0,0,1,0,1,1,1
0,0,0,0,4,9,235,20,43,294.217,0,0,1,0,1,0,0
1,0,0,0,1,9,246,25,41,294.217,1,0,0,0,0,0,1
0,0,0,1,2,9,291,31,40,294.217,0,1,0,0,1,1,0
0,0,0,0,2,9,231,35,39,294.217,0,0,1,0,1,1,0
0,0,0,0,2,9,291,50,32,294.217,1,0,0,0,0,0,0
1,0,0,0,3,9,179,51,38,294.217,0,0,1,0,0,0,1
1,0,0,0,3,9,246,25,41,294.217,1,0,0,0,0,0,1
0,0,0,1,4,9,179,51,38,294.217,0,0,1,0,0,0,0
0,0,0,1,5,9,291,31,40,294.217,0,1,0,0,1,1,1
0,0,0,1,5,9,260,50,36,294.217,1,0,0,0,1,0,1
0,0,0,1,3,9,235,20,43,294.217,0,0,1,0,1,0,1
0,0,0,1,4,9,118,13,50,294.217,0,0,1,0,1,0,0
0,0,0,0,4,9,235,20,43,294.217,0,0,1,0,1,0,0
0,0,0,1,5,9,291,31,40,294.217,0,1,0,0,1,1,0
1,0,0,0,1,9,291,31,40,294.217,0,1,0,0,1,1,1
1,0,0,0,1,9,179,51,38,294.217,0,0,1,0,0,0,1
0,0,0,1,3,10,289,36,33,265.017,0,0,1,0,1,1,1
0,0,0,1,3,10,235,11,37,265.017,0,1,0,1,1,1,1
0,0,0,1,3,10,289,36,33,265.017,0,0,1,0,1,1,1
0,0,0,1,4,10,289,36,33,265.017,0,0,1,0,1,1,1
0,0,0,0,4,10,118,13,50,265.017,0,0,1,0,1,0,0
0,0,0,0,4,10,248,25,47,265.017,0,0,1,0,1,1,0
1,0,0,0,3,10,179,26,30,265.017,1,0,0,1,0,0,1
1,0,0,0,3,10,118,10,37,265.017,0,1,0,0,0,0,0
0,0,0,1,3,10,369,17,31,265.017,0,1,0,0,1,0,1
0,0,0,1,5,10,179,51,38,265.017,0,0,1,0,0,0,0
1,0,0,0,5,10,179,26,30,265.017,1,0,0,1,0,0,1
0,0,0,0,5,10,235,20,43,265.017,0,0,1,0,1,0,0
0,0,1,0,6,10,289,36,33,265.017,0,0,1,0,1,1,1
0,0,0,1,7,10,260,50,36,265.017,1,0,0,0,1,0,0
0,0,0,0,7,10,235,20,43,265.017,0,0,1,0,1,0,0
0,0,0,1,3,10,235,20,43,265.017,0,0,1,0,1,0,0
0,0,0,1,3,10,235,20,43,265.017,0,0,1,0,1,0,0
0,0,0,1,4,10,118,13,50,265.017,0,0,1,0,1,0,0
0,0,0,1,4,10,291,31,40,265.017,0,1,0,0,1,1,1
0,0,0,1,6,10,179,26,30,265.017,1,0,0,1,0,0,1
0,0,0,1,6,10,118,13,50,265.017,0,0,1,0,1,0,0
1,0,0,0,3,10,361,52,28,265.017,0,1,0,0,1,1,1
0,0,0,0,4,10,260,50,36,265.017,1,0,0,0,1,0,0
0,0,0,0,4,10,291,31,40,265.017,0,1,0,0,1,1,0
0,0,0,0,4,10,157,27,29,265.017,1,0,0,0,0,0,0
1,0,0,0,5,10,179,26,30,265.017,1,0,0,1,0,0,1
1,0,0,0,5,10,179,26,30,265.017,1,0,0,1,0,0,1
0,0,0,1,6,10,118,13,50,265.017,0,0,1,0,1,0,0
1,0,0,0,1,11,118,10,37,284.031,0,1,0,0,0,0,1
0,0,0,1,1,11,248,25,47,284.031,0,0,1,0,1,1,0
1,0,0,0,2,11,179,51,38,284.031,0,0,1,0,0,0,1
0,0,0,1,5,11,260,50,36,284.031,1,0,0,0,1,0,0
0,0,0,1,1,11,291,31,40,284.031,0,1,0,0,1,1,0
1,0,0,0,1,11,378,49,36,284.031,1,0,0,0,1,1,1
1,0,0,0,1,11,155,12,34,284.031,0,1,0,0,1,0,1
0,0,0,1,1,11,235,20,43,284.031,0,0,1,0,1,0,1
0,0,0,0,2,11,330,16,28,284.031,0,1,0,1,0,0,0
0,0,1,0,3,11,235,11,37,284.031,0,1,0,1,1,1,0
1,0,0,0,3,11,118,10,37,284.031,0,1,0,0,0,0,0
0,0,0,1,4,11,235,11,37,284.031,0,1,0,1,1,1,0
0,0,0,1,4,11,179,51,38,284.031,0,0,1,0,0,0,0
1,0,0,0,5,11,246,25,41,284.031,1,0,0,0,0,0,1
1,0,0,0,5,11,291,31,40,284.031,0,1,0,0,1,1,1
1,0,0,0,1,11,246,25,41,284.031,1,0,0,0,0,0,1
0,0,0,1,2,11,179,51,38,284.031,0,0,1,0,0,0,0
1,0,0,0,3,11,260,50,36,284.031,1,0,0,0,1,0,1
0,1,0,0,5,11,260,50,36,284.031,1,0,0,0,1,0,1
0,0,0,0,5,11,378,49,36,284.031,1,0,0,0,1,1,0
0,0,0,0,2,11,279,5,39,284.031,1,0,0,0,1,0,0
0,0,0,1,4,11,179,51,38,284.031,0,0,1,0,0,0,0
1,0,0,0,1,12,225,26,28,236.629,1,0,0,0,1,1,0
0,0,0,1,1,12,179,51,38,236.629,0,0,1,0,0,0,0
0,0,0,1,1,12,179,51,38,236.629,0,0,1,0,0,0,0
0,0,0,1,1,12,235,11,37,236.629,0,1,0,1,1,1,0
0,0,0,1,2,12,118,13,50,236.629,0,0,1,0,1,0,0
0,0,0,1,5,12,260,50,36,236.629,1,0,0,0,1,0,1
1,0,0,0,4,12,246,25,41,236.629,1,0,0,0,0,0,1
0,0,0,1,4,12,179,51,38,236.629,0,0,1,0,0,0,0
